Round,Driver,Team
Round 1 - Australia,Frans Marx,Audi
Round 1 - Australia,Hannes Nortje,McLaren
Round 1 - Australia,Henk Naude	Aston Martin
Round 1 - Australia,Peter Labuschagne,Williams
Round 1 - Australia,Stian Ras,Audi
Round 1 - Australia,Jesper van der Sluis,Mercedes
Round 1 - Australia,Zander MacKenzie,Racing Bulls
Round 1 - Australia,Jeroen Bekx,Mercedes
Round 1 - Australia,Sashen Pillay,Ferrari
Round 1 - Australia,Christiaan Kruger,McLaren
Round 1 - Australia,Tiaan van Greunen,Aston Martin
Round 1 - Australia,Hidde Stokvis,Red Bull Racing
Round 1 - Australia,Gjalt Hooijkamp,Williams
Round 1 - Australia,Dimitri Balai,Red Bull Racing
Round 1 - Australia,Renato Nel,Ferrari
Round 1 - Australia,Anthony Solomon,Racing Bulls
